Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2018-11-27;2018M11;69;33;3;0
BARCHART;2018-11-26;2018M11;63;29;4;1
BARCHART;2018-11-25;2018M11;3;2;0;0
BARCHART;2018-11-24;2018M11;3;1;0;0
BARCHART;2018-11-23;2018M11;51;24;1;4
BARCHART;2018-11-22;2018M11;64;37;2;3
BARCHART;2018-11-21;2018M11;63;30;2;1
BARCHART;2018-11-20;2018M11;70;36;2;1
BARCHART;2018-11-19;2018M11;83;39;4;1
BARCHART;2018-11-18;2018M11;8;1;0;1
BARCHART;2018-11-17;2018M11;20;6;0;0
BARCHART;2018-11-16;2018M11;64;29;4;1
BARCHART;2018-11-15;2018M11;64;34;3;0
BARCHART;2018-11-14;2018M11;72;28;5;8
BARCHART;2018-11-13;2018M11;58;25;0;0
BARCHART;2018-11-12;2018M11;46;15;4;2
BARCHART;2018-11-11;2018M11;4;3;0;0
BARCHART;2018-11-10;2018M11;4;6;0;0
BARCHART;2018-11-09;2018M11;63;23;4;7
BARCHART;2018-11-08;2018M11;53;41;3;0
BARCHART;2018-11-07;2018M11;62;36;4;2
BARCHART;2018-11-06;2018M11;58;31;1;0
BARCHART;2018-11-05;2018M11;64;24;3;5
BARCHART;2018-11-04;2018M11;2;3;0;0
BARCHART;2018-11-03;2018M11;6;4;0;0
BARCHART;2018-11-02;2018M11;36;16;3;1
BARCHART;2018-11-01;2018M11;21;19;0;0
BARCHART;2018-10-31;2018M10;70;53;8;6
BARCHART;2018-10-30;2018M10;74;43;0;0
BARCHART;2018-10-29;2018M10;100;35;4;6
BARCHART;2018-10-28;2018M10;9;10;0;1
BARCHART;2018-10-27;2018M10;13;9;0;0
BARCHART;2018-10-26;2018M10;57;34;6;2
BARCHART;2018-10-25;2018M10;72;23;1;1
BARCHART;2018-10-24;2018M10;135;46;3;2
BARCHART;2018-10-23;2018M10;80;25;4;5
