Report Target;Ticket Date Create Month Id;IWM Service Label;IWM Ticket Count
BYSERVICE;2017M01;CESAR;1
BYSERVICE;2017M02;CESAR;2
BYSERVICE;2017M02;GO;9
BYSERVICE;2017M02;OTHER;2
BYSERVICE;2017M03;CESAR;4
BYSERVICE;2017M03;GO;6
BYSERVICE;2017M03;MBCPOS;1
BYSERVICE;2017M04;CESAR;5
BYSERVICE;2017M04;GO;7
BYSERVICE;2017M04;MBCPOS;1
BYSERVICE;2017M04;OTHER;2
BYSERVICE;2017M05;CESAR;2
BYSERVICE;2017M05;GO;3
BYSERVICE;2017M05;OTHER;3
BYSERVICE;2017M06;CESAR;6
BYSERVICE;2017M06;GO;26
BYSERVICE;2017M06;OTHER;4
BYSERVICE;2017M07;CESAR;6
BYSERVICE;2017M07;GO;20
BYSERVICE;2017M07;OTHER;8
BYSERVICE;2017M08;CESAR;3
BYSERVICE;2017M08;GO;25
BYSERVICE;2017M08;OTHER;14
BYSERVICE;2017M09;CESAR;10
BYSERVICE;2017M09;GO;37
BYSERVICE;2017M09;MBCPOS;3
BYSERVICE;2017M09;OTHER;17
BYSERVICE;2017M10;CESAR;16
BYSERVICE;2017M10;GO;75
BYSERVICE;2017M10;MBCPOS;5
BYSERVICE;2017M10;OTHER;13
BYSERVICE;2017M11;CESAR;80
BYSERVICE;2017M11;GO;218
BYSERVICE;2017M11;MBCPOS;8
BYSERVICE;2017M11;OTHER;73
BYSERVICE;2017M12;CESAR;535
BYSERVICE;2017M12;GO;1251
BYSERVICE;2017M12;MBCPOS;70
BYSERVICE;2017M12;OTHER;235
BYSERVICE;2018M01;CESAR;550
BYSERVICE;2018M01;GO;1463
BYSERVICE;2018M01;MBCPOS;92
BYSERVICE;2018M01;OTHER;298
BYSERVICE;2018M02;CESAR;447
BYSERVICE;2018M02;GO;1598
BYSERVICE;2018M02;MBCPOS;96
BYSERVICE;2018M02;OTHER;281
BYSERVICE;2018M03;CESAR;434
BYSERVICE;2018M03;GO;1577
BYSERVICE;2018M03;MBCPOS;88
BYSERVICE;2018M03;OTHER;363
BYSERVICE;2018M04;CESAR;393
BYSERVICE;2018M04;GO;1399
BYSERVICE;2018M04;MBCPOS;88
BYSERVICE;2018M04;OTHER;342
BYSERVICE;2018M05;CESAR;401
BYSERVICE;2018M05;GO;1661
BYSERVICE;2018M05;MBCPOS;60
BYSERVICE;2018M05;OTHER;410
BYSERVICE;2018M06;CESAR;440
BYSERVICE;2018M06;GO;1817
BYSERVICE;2018M06;MBCPOS;22
BYSERVICE;2018M06;OTHER;313
BYSERVICE;2018M07;CESAR;437
BYSERVICE;2018M07;GO;1553
BYSERVICE;2018M07;MBCPOS;65
BYSERVICE;2018M07;OTHER;383
BYSERVICE;2018M08;CESAR;519
BYSERVICE;2018M08;GO;1400
BYSERVICE;2018M08;MBCPOS;35
BYSERVICE;2018M08;OTHER;473
BYSERVICE;2018M09;CESAR;449
BYSERVICE;2018M09;GO;1327
BYSERVICE;2018M09;MBCPOS;53
BYSERVICE;2018M09;OTHER;350
BYSERVICE;2018M10;CESAR;383
BYSERVICE;2018M10;GO;2013
BYSERVICE;2018M10;MBCPOS;130
BYSERVICE;2018M10;OTHER;361
BYSERVICE;2018M11;CESAR;413
BYSERVICE;2018M11;GO;1175
BYSERVICE;2018M11;MBCPOS;32
BYSERVICE;2018M11;OTHER;219
